Problems and optimal solutions 
Preced.   c 
graph   (given)  m*
--------------------------
ARC83.IN2 3786 21
ARC83.IN2 3985 20
ARC83.IN2 4206 19
ARC83.IN2 4454 18
ARC83.IN2 4732 17
ARC83.IN2 5048 16
ARC83.IN2 5408 15
ARC83.IN2 5824 14
ARC83.IN2 5853 14
ARC83.IN2 6309 13
ARC83.IN2 6842 12
ARC83.IN2 6883 12
ARC83.IN2 7571 11
ARC83.IN2 8412 10
ARC83.IN2 8898 9
ARC83.IN2 10816 8
ARC111.IN2 5755 27
ARC111.IN2 5785 27
ARC111.IN2 6016 26
ARC111.IN2 6267 25
ARC111.IN2 6540 24
ARC111.IN2 6837 23
ARC111.IN2 7162 22
ARC111.IN2 7520 21
ARC111.IN2 7916 20
ARC111.IN2 8356 19
ARC111.IN2 8847 18
ARC111.IN2 9400 17
ARC111.IN2 10027 16
ARC111.IN2 10743 15
ARC111.IN2 11378 14
ARC111.IN2 11570 13
ARC111.IN2 17067 9
BARTHOL2.IN2 84 51
BARTHOL2.IN2 85 50
BARTHOL2.IN2 87 49
BARTHOL2.IN2 89 48
BARTHOL2.IN2 91 47
BARTHOL2.IN2 93 46
BARTHOL2.IN2 95 45
BARTHOL2.IN2 97 44
BARTHOL2.IN2 99 43
BARTHOL2.IN2 101 42
BARTHOL2.IN2 104 41
BARTHOL2.IN2 106 40
BARTHOL2.IN2 109 39
BARTHOL2.IN2 112 38
BARTHOL2.IN2 115 37
BARTHOL2.IN2 118 36
BARTHOL2.IN2 121 35
BARTHOL2.IN2 125 34
BARTHOL2.IN2 129 33
BARTHOL2.IN2 133 32
BARTHOL2.IN2 137 31
BARTHOL2.IN2 142 30
BARTHOL2.IN2 146 29
BARTHOL2.IN2 152 28
BARTHOL2.IN2 157 27
BARTHOL2.IN2 163 26
BARTHOL2.IN2 170 25
BARTHOLD.IN2 403 14
BARTHOLD.IN2 434 13
BARTHOLD.IN2 470 12
BARTHOLD.IN2 513 11
BARTHOLD.IN2 564 10
BARTHOLD.IN2 626 9
BARTHOLD.IN2 705 8
BARTHOLD.IN2 805 7
BOWMAN8.IN2 20 5
BUXEY.IN2 27 13
BUXEY.IN2 30 12
BUXEY.IN2 33 11
BUXEY.IN2 36 10
BUXEY.IN2 41 8
BUXEY.IN2 47 7
BUXEY.IN2 54 7
GUNTHER.IN2 41 14
GUNTHER.IN2 44 12
GUNTHER.IN2 49 11
GUNTHER.IN2 54 9
GUNTHER.IN2 61 9
GUNTHER.IN2 69 8
GUNTHER.IN2 81 7
HAHN.IN2 2004 8
HAHN.IN2 2338 7
HAHN.IN2 2806 6
HAHN.IN2 3507 5
HAHN.IN2 4676 4
HESKIA.IN2 138 8
HESKIA.IN2 205 5
HESKIA.IN2 216 5
HESKIA.IN2 256 4
HESKIA.IN2 324 4
HESKIA.IN2 342 3
JACKSON.IN2 7 8
JACKSON.IN2 9 6
JACKSON.IN2 10 5
JACKSON.IN2 13 4
JACKSON.IN2 14 4
JACKSON.IN2 21 3
JAESCHKE.IN2 6 8
JAESCHKE.IN2 7 7
JAESCHKE.IN2 8 6
JAESCHKE.IN2 10 4
JAESCHKE.IN2 18 3
KILBRID.IN2 56 10
KILBRID.IN2 57 10
KILBRID.IN2 62 9
KILBRID.IN2 69 8
KILBRID.IN2 79 7
KILBRID.IN2 92 6
KILBRID.IN2 110 6
KILBRID.IN2 111 5
KILBRID.IN2 138 4
KILBRID.IN2 184 3
LUTZ1.IN2 1414 11
LUTZ1.IN2 1572 10
LUTZ1.IN2 1768 9
LUTZ1.IN2 2020 8
LUTZ1.IN2 2357 7
LUTZ1.IN2 2828 6
LUTZ2.IN2 11 49
LUTZ2.IN2 12 44
LUTZ2.IN2 13 40
LUTZ2.IN2 14 37
LUTZ2.IN2 15 34
LUTZ2.IN2 16 31
LUTZ2.IN2 17 29
LUTZ2.IN2 18 28
LUTZ2.IN2 19 26
LUTZ2.IN2 20 25
LUTZ2.IN2 21 24
LUTZ3.IN2 75 23
LUTZ3.IN2 79 22
LUTZ3.IN2 83 21
LUTZ3.IN2 87 20
LUTZ3.IN2 92 19
